V101W: Progrès Niederkorn
V101L: Cardiff Metropolitan
V102W: Cliftonville FC
V102L: Barry Town United
V103W: KÍ Klaksvík
V103L: SP Tre Fiori
V104W: Europa FC
V104L: UE Sant Julià
V105W: Ballymena United
V105L: NSÍ Runavík
V106W: UE Engordany
V106L: SP La Fiorita
V107W: St Joseph's FC
V107L: FC Prishtina
Q101W: EL2019Q101W
Q146L: EL2019Q146L
Q147W: EL2019Q147W
Q147L: EL2019Q147L
Q201W: EL2019Q201W
Q201L: EL2019Q201L
Q202W: EL2019Q202W
Q202L: EL2019Q202L
Q203W: EL2019Q203W
Q203L: EL2019Q203L
Q204W: EL2019Q204W
Q204L: EL2019Q204L
Q205W: EL2019Q205W
Q205L: EL2019Q205L
Q206W: EL2019Q206W
Q206L: EL2019Q206L
Q207W: EL2019Q207W
Q207L: EL2019Q207L
Q208W: EL2019Q208W
Q208L: EL2019Q208L
Q209W: EL2019Q209W
Q209L: EL2019Q209L
Q210W: EL2019Q210W
Q210L: EL2019Q210L
Q211W: EL2019Q211W
Q211L: EL2019Q211L
Q212W: EL2019Q212W
Q212L: EL2019Q212L
Q213W: EL2019Q213W
Q213L: EL2019Q213L
Q214W: EL2019Q214W
Q214L: EL2019Q214L
Q215W: EL2019Q215W
Q215L: EL2019Q215L
Q216W: EL2019Q216W
Q216L: EL2019Q216L
Q217W: EL2019Q217W
Q217L: EL2019Q217L
Q218W: EL2019Q218W
Q218L: EL2019Q218L
Q219W: EL2019Q219W
Q219L: EL2019Q219L
Q220W: EL2019Q220W
Q220L: EL2019Q220L
Q221W: EL2019Q221W
Q221L: EL2019Q221L
Q222W: EL2019Q222W
Q222L: EL2019Q222L
Q223W: EL2019Q223W
Q223L: EL2019Q223L
Q224W: EL2019Q224W
Q224L: EL2019Q224L
Q225W: EL2019Q225W
Q225L: EL2019Q225L
Q226W: EL2019Q226W
Q226L: EL2019Q226L
Q227W: EL2019Q227W
Q227L: EL2019Q227L
Q228W: EL2019Q228W
Q228L: EL2019Q228L
Q229W: EL2019Q229W
Q229L: EL2019Q229L
Q230W: EL2019Q230W
Q230L: EL2019Q230L
Q231W: EL2019Q231W
Q231L: EL2019Q231L
Q232W: EL2019Q232W
Q232L: EL2019Q232L
Q233W: EL2019Q233W
Q233L: EL2019Q233L
Q234W: EL2019Q234W
Q234L: EL2019Q234L
Q235W: EL2019Q235W
Q235L: EL2019Q235L
Q236W: EL2019Q236W
Q236L: EL2019Q236L
Q237W: EL2019Q237W
Q237L: EL2019Q237L
Q238W: EL2019Q238W
Q238L: EL2019Q238L
Q239W: EL2019Q239W
Q239L: EL2019Q239L
Q240W: EL2019Q240W
Q240L: EL2019Q240L
Q241W: EL2019Q241W
Q241L: EL2019Q241L
Q242W: EL2019Q242W
Q242L: EL2019Q242L
Q243W: EL2019Q243W
Q243L: EL2019Q243L
Q244W: EL2019Q244W
Q244L: EL2019Q244L
Q245W: EL2019Q245W
Q245L: EL2019Q245L
Q246W: EL2019Q246W
Q246L: EL2019Q246L
Q301W: EL2019Q301W
Q301L: EL2019Q301L
Q302W: EL2019Q302W
Q302L: EL2019Q302L
Q303W: EL2019Q303W
Q303L: EL2019Q303L
Q304W: EL2019Q304W
Q304L: EL2019Q304L
Q305W: EL2019Q305W
Q305L: EL2019Q305L
Q306W: EL2019Q306W
Q306L: EL2019Q306L
Q307W: EL2019Q307W
Q307L: EL2019Q307L
Q308W: EL2019Q308W
Q308L: EL2019Q308L
Q309W: EL2019Q309W
Q309L: EL2019Q309L
Q310W: EL2019Q310W
Q310L: EL2019Q310L
Q311W: EL2019Q311W
Q311L: EL2019Q311L
Q312W: EL2019Q312W
Q312L: EL2019Q312L
Q313W: EL2019Q313W
Q313L: EL2019Q313L
Q314W: EL2019Q314W
Q314L: EL2019Q314L
Q315W: EL2019Q315W
Q315L: EL2019Q315L
Q316W: EL2019Q316W
Q316L: EL2019Q316L
Q317W: EL2019Q317W
Q317L: EL2019Q317L
Q318W: EL2019Q318W
Q318L: EL2019Q318L
Q319W: EL2019Q319W
Q319L: EL2019Q319L
Q320W: EL2019Q320W
Q320L: EL2019Q320L
Q321W: EL2019Q321W
Q321L: EL2019Q321L
Q322W: EL2019Q322W
Q322L: EL2019Q322L
Q323W: EL2019Q323W
Q323L: EL2019Q323L
Q324W: EL2019Q324W
Q324L: EL2019Q324L
Q325W: EL2019Q325W
Q325L: EL2019Q325L
Q326W: EL2019Q326W
Q326L: EL2019Q326L
Q327W: EL2019Q327W
Q327L: EL2019Q327L
Q328W: EL2019Q328W
Q328L: EL2019Q328L
Q329W: EL2019Q329W
Q329L: EL2019Q329L
Q330W: EL2019Q330W
Q330L: EL2019Q330L
Q331W: EL2019Q331W
Q331L: EL2019Q331L
Q332W: EL2019Q332W
Q332L: EL2019Q332L
Q333W: EL2019Q333W
Q333L: EL2019Q333L
Q334W: EL2019Q334W
Q334L: EL2019Q334L
Q335W: EL2019Q335W
Q335L: EL2019Q335L
Q336W: EL2019Q336W
Q336L: EL2019Q336L
PO01W: EL2019PO01W
PO01L: EL2019PO01L
PO02W: EL2019PO02W
PO02L: EL2019PO02L
PO03W: EL2019PO03W
PO03L: EL2019PO03L
PO04W: EL2019PO04W
PO04L: EL2019PO04L
PO05W: EL2019PO05W
PO05L: EL2019PO05L
PO06W: EL2019PO06W
PO06L: EL2019PO06L
PO07W: EL2019PO07W
PO07L: EL2019PO07L
PO08W: EL2019PO08W
PO08L: EL2019PO08L
PO09W: EL2019PO09W
PO09L: EL2019PO09L
PO10W: EL2019PO10W
PO10L: EL2019PO10L
PO11W: EL2019PO11W
PO11L: EL2019PO11L
PO12W: EL2019PO12W
PO12L: EL2019PO12L
PO13W: EL2019PO13W
PO13L: EL2019PO13L
PO14W: EL2019PO14W
PO14L: EL2019PO14L
PO15W: EL2019PO15W
PO15L: EL2019PO15L
PO16W: EL2019PO16W
PO16L: EL2019PO16L
PO17W: EL2019PO17W
PO17L: EL2019PO17L
PO18W: EL2019PO18W
PO18L: EL2019PO18L
PO19W: EL2019PO19W
PO19L: EL2019PO19L
PO20W: EL2019PO20W
PO20L: EL2019PO20L
PO21W: EL2019PO21W
PO21L: EL2019PO21L
GA1: EL2019GA1
GA2: EL2019GA2
GA3: EL2019GA3
GA4: EL2019GA4
GB1: EL2019GB1
GB2: EL2019GB2
GB3: EL2019GB3
GB4: EL2019GB4
GC1: EL2019GC1
GC2: EL2019GC2
GC3: EL2019GC3
GC4: EL2019GC4
GD1: EL2019GD1
GD2: EL2019GD2
GD3: EL2019GD3
GD4: EL2019GD4
GE1: EL2019GE1
GE2: EL2019GE2
GE3: EL2019GE3
GE4: EL2019GE4
GF1: EL2019GF1
GF2: EL2019GF2
GF3: EL2019GF3
GF4: EL2019GF4
GG1: EL2019GG1
GG2: EL2019GG2
GG3: EL2019GG3
GG4: EL2019GG4
GH1: EL2019GH1
GH2: EL2019GH2
GH3: EL2019GH3
GH4: EL2019GH4
GI1: EL2019GI1
GI2: EL2019GI2
GI3: EL2019GI3
GI4: EL2019GI4
GJ1: EL2019GJ1
GJ2: EL2019GJ2
GJ3: EL2019GJ3
GJ4: EL2019GJ4
GK1: EL2019GK1
GK2: EL2019GK2
GK3: EL2019GK3
GK4: EL2019GK4
GL1: EL2019GL1
GL2: EL2019GL2
GL3: EL2019GL3
GL4: EL2019GL4
SF01W: EL2019SF01W
SF01L: EL2019SF01L
SF02W: EL2019SF02W
SF02L: EL2019SF02L
SF03W: EL2019SF03W
SF03L: EL2019SF03L
SF04W: EL2019SF04W
SF04L: EL2019SF04L
SF05W: EL2019SF05W
SF05L: EL2019SF05L
SF06W: EL2019SF06W
SF06L: EL2019SF06L
SF07W: EL2019SF07W
SF07L: EL2019SF07L
SF08W: EL2019SF08W
SF08L: EL2019SF08L
SF09W: EL2019SF09W
SF09L: EL2019SF09L
SF10W: EL2019SF10W
SF10L: EL2019SF10L
SF11W: EL2019SF11W
SF11L: EL2019SF11L
SF12W: EL2019SF12W
SF12L: EL2019SF12L
SF13W: EL2019SF13W
SF13L: EL2019SF13L
SF14W: EL2019SF14W
SF14L: EL2019SF14L
SF15W: EL2019SF15W
SF15L: EL2019SF15L
SF16W: EL2019SF16W
SF16L: EL2019SF16L
AF01W: EL2019AF01W
AF01L: EL2019AF01L
AF02W: EL2019AF02W
AF02L: EL2019AF02L
AF03W: EL2019AF03W
AF03L: EL2019AF03L
AF04W: EL2019AF04W
AF04L: EL2019AF04L
AF05W: EL2019AF05W
AF05L: EL2019AF05L
AF06W: EL2019AF06W
AF06L: EL2019AF06L
AF07W: EL2019AF07W
AF07L: EL2019AF07L
AF08W: EL2019AF08W
AF08L: EL2019AF08L
VF01W: EL2019VF01W
VF01L: EL2019VF01L
VF02W: EL2019VF02W
VF02L: EL2019VF02L
VF03W: EL2019VF03W
VF03L: EL2019VF03L
VF04W: EL2019VF04W
VF04L: EL2019VF04L
HF01W: EL2019HF01W
HF01L: EL2019HF01L
HF02W: EL2019HF02W
HF02L: EL2019HF02L
FI01W: EL2019FI01W
FI01L: EL2019FI01L
