V101W: Zeta Golubovci
V101L: UE Engordany
V102W: B36 Tórshavn
V102L: St Joseph's FC
V103W: NSÍ Runavík
V103L: Barry Town United
V104W: Iskra Danilovgrad
V104L: FC Santa Coloma
V105W: Glentoran FC
V105L: HB Tórshavn
V106W: Coleraine FC
V106L: SP La Fiorita
V107W: KF Gjilani
V107L: SP Tre Penne
V108W: EL2020V108W
Q233W: EL2020Q233W
Q233L: EL2020Q233L
Q234W: EL2020Q234W
Q234L: EL2020Q234L
Q235W: EL2020Q235W
Q235L: EL2020Q235L
Q236W: EL2020Q236W
Q236L: EL2020Q236L
Q237W: EL2020Q237W
Q237L: EL2020Q237L
Q238W: EL2020Q238W
Q238L: EL2020Q238L
Q239W: EL2020Q239W
Q239L: EL2020Q239L
Q240W: EL2020Q240W
Q240L: EL2020Q240L
Q241W: EL2020Q241W
Q241L: EL2020Q241L
Q242W: EL2020Q242W
Q242L: EL2020Q242L
Q243W: EL2020Q243W
Q243L: EL2020Q243L
Q244W: EL2020Q244W
Q244L: EL2020Q244L
Q245W: EL2020Q245W
Q245L: EL2020Q245L
Q246W: EL2020Q246W
Q246L: EL2020Q246L
Q301W: EL2020Q301W
Q301L: EL2020Q301L
Q302W: EL2020Q302W
Q302L: EL2020Q302L
Q303W: EL2020Q303W
Q303L: EL2020Q303L
Q304W: EL2020Q304W
Q304L: EL2020Q304L
Q305W: EL2020Q305W
Q305L: EL2020Q305L
Q306W: EL2020Q306W
Q306L: EL2020Q306L
Q307W: EL2020Q307W
Q307L: EL2020Q307L
Q308W: EL2020Q308W
Q308L: EL2020Q308L
Q309W: EL2020Q309W
Q309L: EL2020Q309L
Q310W: EL2020Q310W
Q310L: EL2020Q310L
Q311W: EL2020Q311W
Q311L: EL2020Q311L
Q312W: EL2020Q312W
Q312L: EL2020Q312L
Q313W: EL2020Q313W
Q313L: EL2020Q313L
Q314W: EL2020Q314W
Q314L: EL2020Q314L
Q315W: EL2020Q315W
Q315L: EL2020Q315L
Q316W: EL2020Q316W
Q316L: EL2020Q316L
Q317W: EL2020Q317W
Q317L: EL2020Q317L
Q318W: EL2020Q318W
Q318L: EL2020Q318L
Q319W: EL2020Q319W
Q319L: EL2020Q319L
Q320W: EL2020Q320W
Q320L: EL2020Q320L
Q321W: EL2020Q321W
Q321L: EL2020Q321L
Q322W: EL2020Q322W
Q322L: EL2020Q322L
Q323W: EL2020Q323W
Q323L: EL2020Q323L
Q324W: EL2020Q324W
Q324L: EL2020Q324L
Q325W: EL2020Q325W
Q325L: EL2020Q325L
Q326W: EL2020Q326W
Q326L: EL2020Q326L
Q327W: EL2020Q327W
Q327L: EL2020Q327L
Q328W: EL2020Q328W
Q328L: EL2020Q328L
Q329W: EL2020Q329W
Q329L: EL2020Q329L
Q330W: EL2020Q330W
Q330L: EL2020Q330L
Q331W: EL2020Q331W
Q331L: EL2020Q331L
Q332W: EL2020Q332W
Q332L: EL2020Q332L
Q333W: EL2020Q333W
Q333L: EL2020Q333L
Q334W: EL2020Q334W
Q334L: EL2020Q334L
Q335W: EL2020Q335W
Q335L: EL2020Q335L
PO01W: EL2020PO01W
PO01L: EL2020PO01L
PO02W: EL2020PO02W
PO02L: EL2020PO02L
PO03W: EL2020PO03W
PO03L: EL2020PO03L
PO04W: EL2020PO04W
PO04L: EL2020PO04L
PO05W: EL2020PO05W
PO05L: EL2020PO05L
PO06W: EL2020PO06W
PO06L: EL2020PO06L
PO07W: EL2020PO07W
PO07L: EL2020PO07L
PO08W: EL2020PO08W
PO08L: EL2020PO08L
PO09W: EL2020PO09W
PO09L: EL2020PO09L
PO10W: EL2020PO10W
PO10L: EL2020PO10L
PO11W: EL2020PO11W
PO11L: EL2020PO11L
PO12W: EL2020PO12W
PO12L: EL2020PO12L
PO13W: EL2020PO13W
PO13L: EL2020PO13L
PO14W: EL2020PO14W
PO14L: EL2020PO14L
PO15W: EL2020PO15W
PO15L: EL2020PO15L
PO16W: EL2020PO16W
PO16L: EL2020PO16L
PO17W: EL2020PO17W
PO17L: EL2020PO17L
PO18W: EL2020PO18W
PO18L: EL2020PO18L
PO19W: EL2020PO19W
PO19L: EL2020PO19L
PO20W: EL2020PO20W
PO20L: EL2020PO20L
PO21W: EL2020PO21W
PO21L: EL2020PO21L
GA1: EL2020GA1
GA2: EL2020GA2
GA3: EL2020GA3
GA4: EL2020GA4
GB1: EL2020GB1
GB2: EL2020GB2
GB3: EL2020GB3
GB4: EL2020GB4
GC1: EL2020GC1
GC2: EL2020GC2
GC3: EL2020GC3
GC4: EL2020GC4
GD1: EL2020GD1
GD2: EL2020GD2
GD3: EL2020GD3
GD4: EL2020GD4
GE1: EL2020GE1
GE2: EL2020GE2
GE3: EL2020GE3
GE4: EL2020GE4
GF1: EL2020GF1
GF2: EL2020GF2
GF3: EL2020GF3
GF4: EL2020GF4
GG1: EL2020GG1
GG2: EL2020GG2
GG3: EL2020GG3
GG4: EL2020GG4
GH1: EL2020GH1
GH2: EL2020GH2
GH3: EL2020GH3
GH4: EL2020GH4
GI1: EL2020GI1
GI2: EL2020GI2
GI3: EL2020GI3
GI4: EL2020GI4
GJ1: EL2020GJ1
GJ2: EL2020GJ2
GJ3: EL2020GJ3
GJ4: EL2020GJ4
GK1: EL2020GK1
GK2: EL2020GK2
GK3: EL2020GK3
GK4: EL2020GK4
GL1: EL2020GL1
GL2: EL2020GL2
GL3: EL2020GL3
GL4: EL2020GL4
SF01W: EL2020SF01W
SF01L: EL2020SF01L
SF02W: EL2020SF02W
SF02L: EL2020SF02L
SF03W: EL2020SF03W
SF03L: EL2020SF03L
SF04W: EL2020SF04W
SF04L: EL2020SF04L
SF05W: EL2020SF05W
SF05L: EL2020SF05L
SF06W: EL2020SF06W
SF06L: EL2020SF06L
SF07W: EL2020SF07W
SF07L: EL2020SF07L
SF08W: EL2020SF08W
SF08L: EL2020SF08L
SF09W: EL2020SF09W
SF09L: EL2020SF09L
SF10W: EL2020SF10W
SF10L: EL2020SF10L
SF11W: EL2020SF11W
SF11L: EL2020SF11L
SF12W: EL2020SF12W
SF12L: EL2020SF12L
SF13W: EL2020SF13W
SF13L: EL2020SF13L
SF14W: EL2020SF14W
SF14L: EL2020SF14L
SF15W: EL2020SF15W
SF15L: EL2020SF15L
SF16W: EL2020SF16W
SF16L: EL2020SF16L
AF01W: EL2020AF01W
AF01L: EL2020AF01L
AF02W: EL2020AF02W
AF02L: EL2020AF02L
AF03W: EL2020AF03W
AF03L: EL2020AF03L
AF04W: EL2020AF04W
AF04L: EL2020AF04L
AF05W: EL2020AF05W
AF05L: EL2020AF05L
AF06W: EL2020AF06W
AF06L: EL2020AF06L
AF07W: EL2020AF07W
AF07L: EL2020AF07L
AF08W: EL2020AF08W
AF08L: EL2020AF08L
VF01W: EL2020VF01W
VF01L: EL2020VF01L
VF02W: EL2020VF02W
VF02L: EL2020VF02L
VF03W: EL2020VF03W
VF03L: EL2020VF03L
VF04W: EL2020VF04W
VF04L: EL2020VF04L
HF01W: EL2020HF01W
HF01L: EL2020HF01L
HF02W: EL2020HF02W
HF02L: EL2020HF02L
FI01W: EL2020FI01W
FI01L: EL2020FI01L
