Q101W: F91 Düdelingen
Q101L: St. Patrick's Athletic
Q102W: B36 Tórshavn
Q102L: Paide Linnameeskond
Q103W: Tobyl Qostanai
Q103L: Honka Espoo
Q104W: Pjunik Erewan
Q104L: Trans Narva
Q105W: FC Ararat-Armenia
Q105L: KF Egnatia
Q106W: Inter Club d'Escaldes
Q106L: Víkingur Gøta
Q107W: MSK Zilina
Q107L: Levadia Tallinn
Q108W: FK Rigas FS
Q108L: Makedonija Skopje
Q109W: FK Panevezys
Q109L: FC Milsami
Q110W: Crusaders FC
Q110L: Haka Valkeakoski
Q111W: Dundalk FC
Q111L: FC Bruno's Magpies
Q112W: FC Balzan
Q112L: NK Domzale
Q113W: FK Shkupi
Q113L: FC Hegelmann
Q114W: Riga FC
Q114L: Víkingur Reykjavík
Q115W: KF Dukagjini
Q115L: Europa FC
Q116W: Alashkert Martuni
Q116L: Arsenal Tivat
Q117W: Gzira United
Q117L: Glentoran FC
Q118W: Torpedo Kutaissi
Q118L: FK Sarajevo
Q119W: Dila Gori
Q119L: DAC Dunajská Streda
Q120W: Progrès Niederkorn
Q120L: KF Gjilani
Q121W: FC Santa Coloma
Q121L: Pen-y-Bont FC
Q122W: KF Tirana
Q122L: Dinamo Batumi
Q123W: Derry City
Q123L: HB Tórshavn
Q124W: Haverfordwest County
Q124L: KF Shkëndija
Q125W: Njoman Hrodna
Q125L: FC Vaduz
Q126W: KA Akureyri
Q126L: Connah's Quay Nomads
Q127W: Zeljeznicar Sarajevo
Q127L: Dinamo Minsk
Q128W: Sutjeska Niksic
Q128L: SS Cosmos
Q129W: Linfield FC
Q129L: Vllaznia Shkodra
Q130W: Zimbru Chisinau
Q130L: SP La Fiorita
Q131W: NK Maribor
Q131L: FC Birkirkara
Q201W: CONF2023Q201W
Q252W: CONF2023Q252W
Q252L: CONF2023Q252L
Q253W: CONF2023Q253W
Q253L: CONF2023Q253L
Q301W: CONF2023Q301W
Q301L: CONF2023Q301L
Q302W: CONF2023Q302W
Q302L: CONF2023Q302L
Q303W: CONF2023Q303W
Q303L: CONF2023Q303L
Q304W: CONF2023Q304W
Q304L: CONF2023Q304L
Q305W: CONF2023Q305W
Q305L: CONF2023Q305L
Q306W: CONF2023Q306W
Q306L: CONF2023Q306L
Q307W: CONF2023Q307W
Q307L: CONF2023Q307L
Q308W: CONF2023Q308W
Q308L: CONF2023Q308L
Q309W: CONF2023Q309W
Q309L: CONF2023Q309L
Q310W: CONF2023Q310W
Q310L: CONF2023Q310L
Q311W: CONF2023Q311W
Q311L: CONF2023Q311L
Q312W: CONF2023Q312W
Q312L: CONF2023Q312L
Q313W: CONF2023Q313W
Q313L: CONF2023Q313L
Q314W: CONF2023Q314W
Q314L: CONF2023Q314L
Q315W: CONF2023Q315W
Q315L: CONF2023Q315L
Q316W: CONF2023Q316W
Q316L: CONF2023Q316L
Q317W: CONF2023Q317W
Q317L: CONF2023Q317L
Q318W: CONF2023Q318W
Q318L: CONF2023Q318L
Q319W: CONF2023Q319W
Q319L: CONF2023Q319L
Q320W: CONF2023Q320W
Q320L: CONF2023Q320L
Q321W: CONF2023Q321W
Q321L: CONF2023Q321L
Q322W: CONF2023Q322W
Q322L: CONF2023Q322L
Q323W: CONF2023Q323W
Q323L: CONF2023Q323L
Q324W: CONF2023Q324W
Q324L: CONF2023Q324L
Q325W: CONF2023Q325W
Q325L: CONF2023Q325L
Q326W: CONF2023Q326W
Q326L: CONF2023Q326L
Q327W: CONF2023Q327W
Q327L: CONF2023Q327L
Q328W: CONF2023Q328W
Q328L: CONF2023Q328L
Q329W: CONF2023Q329W
Q329L: CONF2023Q329L
Q330W: CONF2023Q330W
Q330L: CONF2023Q330L
Q331W: CONF2023Q331W
Q331L: CONF2023Q331L
Q332W: CONF2023Q332W
Q332L: CONF2023Q332L
PO01W: CONF2023PO01W
PO01L: CONF2023PO01L
PO02W: CONF2023PO02W
PO02L: CONF2023PO02L
PO03W: CONF2023PO03W
PO03L: CONF2023PO03L
PO04W: CONF2023PO04W
PO04L: CONF2023PO04L
PO05W: CONF2023PO05W
PO05L: CONF2023PO05L
PO06W: CONF2023PO06W
PO06L: CONF2023PO06L
PO07W: CONF2023PO07W
PO07L: CONF2023PO07L
PO08W: CONF2023PO08W
PO08L: CONF2023PO08L
PO09W: CONF2023PO09W
PO09L: CONF2023PO09L
PO10W: CONF2023PO10W
PO10L: CONF2023PO10L
PO11W: CONF2023PO11W
PO11L: CONF2023PO11L
PO12W: CONF2023PO12W
PO12L: CONF2023PO12L
PO13W: CONF2023PO13W
PO13L: CONF2023PO13L
PO14W: CONF2023PO14W
PO14L: CONF2023PO14L
PO15W: CONF2023PO15W
PO15L: CONF2023PO15L
PO16W: CONF2023PO16W
PO16L: CONF2023PO16L
PO17W: CONF2023PO17W
PO17L: CONF2023PO17L
PO18W: CONF2023PO18W
PO18L: CONF2023PO18L
PO19W: CONF2023PO19W
PO19L: CONF2023PO19L
PO20W: CONF2023PO20W
PO20L: CONF2023PO20L
PO21W: CONF2023PO21W
PO21L: CONF2023PO21L
PO22W: CONF2023PO22W
PO22L: CONF2023PO22L
GA1: CONF2023GA1
GA2: CONF2023GA2
GA3: CONF2023GA3
GA4: CONF2023GA4
GB1: CONF2023GB1
GB2: CONF2023GB2
GB3: CONF2023GB3
GB4: CONF2023GB4
GC1: CONF2023GC1
GC2: CONF2023GC2
GC3: CONF2023GC3
GC4: CONF2023GC4
GD1: CONF2023GD1
GD2: CONF2023GD2
GD3: CONF2023GD3
GD4: CONF2023GD4
GE1: CONF2023GE1
GE2: CONF2023GE2
GE3: CONF2023GE3
GE4: CONF2023GE4
GF1: CONF2023GF1
GF2: CONF2023GF2
GF3: CONF2023GF3
GF4: CONF2023GF4
GG1: CONF2023GG1
GG2: CONF2023GG2
GG3: CONF2023GG3
GG4: CONF2023GG4
GH1: CONF2023GH1
GH2: CONF2023GH2
GH3: CONF2023GH3
GH4: CONF2023GH4
PK01W: CONF2023PK01W
PK01L: CONF2023PK01L
PK02W: CONF2023PK02W
PK02L: CONF2023PK02L
PK03W: CONF2023PK03W
PK03L: CONF2023PK03L
PK04W: CONF2023PK04W
PK04L: CONF2023PK04L
PK05W: CONF2023PK05W
PK05L: CONF2023PK05L
PK06W: CONF2023PK06W
PK06L: CONF2023PK06L
PK07W: CONF2023PK07W
PK07L: CONF2023PK07L
PK08W: CONF2023PK08W
PK08L: CONF2023PK08L
AF01W: CONF2023AF01W
AF01L: CONF2023AF01L
AF02W: CONF2023AF02W
AF02L: CONF2023AF02L
AF03W: CONF2023AF03W
AF03L: CONF2023AF03L
AF04W: CONF2023AF04W
AF04L: CONF2023AF04L
AF05W: CONF2023AF05W
AF05L: CONF2023AF05L
AF06W: CONF2023AF06W
AF06L: CONF2023AF06L
AF07W: CONF2023AF07W
AF07L: CONF2023AF07L
AF08W: CONF2023AF08W
AF08L: CONF2023AF08L
VF01W: CONF2023VF01W
VF01L: CONF2023VF01L
VF02W: CONF2023VF02W
VF02L: CONF2023VF02L
VF03W: CONF2023VF03W
VF03L: CONF2023VF03L
VF04W: CONF2023VF04W
VF04L: CONF2023VF04L
HF01W: CONF2023HF01W
HF01L: CONF2023HF01L
HF02W: CONF2023HF02W
HF02L: CONF2023HF02L
FI01W: CONF2023FI01W
FI01L: CONF2023FI01L
